date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:35:09	96577/96577	---M-Z	200	added ('OK')	text/html	etag:%2212-1789688573;br%22	https://nealpearcy.com/	C:/My%20Web%20Sites/Neal%20Pearcy%20Website/nealpearcy.com/index.html	(from )
20:35:09	98/98	---M-Z	200	added ('OK')	text/plain	etag:%2224-1789691710;br%22	https://nealpearcy.com/robots.txt		(from )
20:35:11	2101/2101	---M-Z	200	added ('OK')	application/json	etag:%2225-1789691711;br%22	https://nealpearcy.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fnealpearcy.com%2F	C:/My%20Web%20Sites/Neal%20Pearcy%20Website/nealpearcy.com/wp-json/oembed/1.0/embed085d.json	(from https://nealpearcy.com/)
20:35:11	10659/10659	---MCZ	200	added ('OK')	application/rss+xml	etag:%22a687eeec3fb378742c571c2a13552720%22	https://nealpearcy.com/feed/	C:/My%20Web%20Sites/Neal%20Pearcy%20Website/nealpearcy.com/feed/index.html	(from https://nealpearcy.com/)
20:35:11	1614/1614	---M-Z	200	added ('OK')	application/rss+xml	etag:%22a687eeec3fb378742c571c2a13552720%22	https://nealpearcy.com/comments/feed/	C:/My%20Web%20Sites/Neal%20Pearcy%20Website/nealpearcy.com/comments/feed/index.html	(from https://nealpearcy.com/)
20:35:12	2255/2255	---M-Z	200	added ('OK')	text/xml	etag:%2226-1789691713;br%22	https://nealpearcy.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fnealpearcy.com%2F&format=xml	C:/My%20Web%20Sites/Neal%20Pearcy%20Website/nealpearcy.com/wp-json/oembed/1.0/embed6e4c	(from https://nealpearcy.com/)
20:35:12	30365/30365	---M-Z	200	added ('OK')	text/css	date:Wed,%2003%20Sep%202025%2023:57:46%20GMT	https://nealpearcy.com/wp-content/plugins/fluentform/assets/css/fluent-forms-public.css?ver=6.1.2	C:/My%20Web%20Sites/Neal%20Pearcy%20Website/nealpearcy.com/wp-content/plugins/fluentform/assets/css/fluent-forms-public658f.css	(from https://nealpearcy.com/)
20:35:12	3595/3595	---M-Z	200	added ('OK')	text/css	date:Wed,%2003%20Sep%202025%2023:57:46%20GMT	https://nealpearcy.com/wp-content/plugins/fluentform/assets/css/fluentform-public-default.css?ver=6.1.2	C:/My%20Web%20Sites/Neal%20Pearcy%20Website/nealpearcy.com/wp-content/plugins/fluentform/assets/css/fluentform-public-default658f.css	(from https://nealpearcy.com/)
20:35:12	19223/19223	---M-Z	200	added ('OK')	text/css	date:Wed,%2003%20Sep%202025%2005:58:16%20GMT	https://nealpearcy.com/wp-content/plugins/salient-social/css/style.css?ver=1.1	C:/My%20Web%20Sites/Neal%20Pearcy%20Website/nealpearcy.com/wp-content/plugins/salient-social/css/style4963.css	(from https://nealpearcy.com/)
20:35:13	52425/52425	---M-Z	200	added ('OK')	text/css	date:Wed,%2024%20Apr%202019%2021:30:28%20GMT	https://nealpearcy.com/wp-content/themes/salient/css/font-awesome.min.css?ver=4.6.4	C:/My%20Web%20Sites/Neal%20Pearcy%20Website/nealpearcy.com/wp-content/themes/salient/css/font-awesome.min82d0.css	(from https://nealpearcy.com/)
20:35:13	70763/70763	---M-Z	200	added ('OK')	text/css	date:Sat,%2009%20May%202020%2022:00:08%20GMT	https://nealpearcy.com/wp-content/themes/salient/css/grid-system.css?ver=12.1.0	C:/My%20Web%20Sites/Neal%20Pearcy%20Website/nealpearcy.com/wp-content/themes/salient/css/grid-system0746.css	(from https://nealpearcy.com/)
20:35:13	41041/41041	---M-Z	200	added ('OK')	text/css	date:Sat,%2018%20Apr%202020%2017:04:04%20GMT	https://nealpearcy.com/wp-content/themes/salient/css/elements/element-recent-posts.css?ver=12.1.0	C:/My%20Web%20Sites/Neal%20Pearcy%20Website/nealpearcy.com/wp-content/themes/salient/css/elements/element-recent-posts0746.css	(from https://nealpearcy.com/)
20:35:13	611683/611683	---M-Z	200	added ('OK')	text/css	date:Wed,%2029%20Apr%202020%2021:45:30%20GMT	https://nealpearcy.com/wp-content/themes/salient/css/style.css?ver=12.1.0	C:/My%20Web%20Sites/Neal%20Pearcy%20Website/nealpearcy.com/wp-content/themes/salient/css/style0746.css	(from https://nealpearcy.com/)
20:35:14	19460/19460	---M-Z	200	added ('OK')	text/css	date:Thu,%2013%20Jun%202019%2023:32:38%20GMT	https://nealpearcy.com/wp-content/themes/salient/css/plugins/jquery.fancybox.css?ver=3.3.1	C:/My%20Web%20Sites/Neal%20Pearcy%20Website/nealpearcy.com/wp-content/themes/salient/css/plugins/jquery.fancybox3d36.css	(from https://nealpearcy.com/)
20:35:14	117079/117079	---M-Z	200	added ('OK')	text/css	date:Tue,%2021%20Apr%202020%2018:27:42%20GMT	https://nealpearcy.com/wp-content/themes/salient/css/responsive.css?ver=12.1.0	C:/My%20Web%20Sites/Neal%20Pearcy%20Website/nealpearcy.com/wp-content/themes/salient/css/responsive0746.css	(from https://nealpearcy.com/)
20:35:14	12181/12181	---M-Z	200	added ('OK')	text/css	date:Sat,%2017%20Jan%202026%2005:32:18%20GMT	https://nealpearcy.com/wp-content/themes/salient-child/style.css?ver=12.1.0	C:/My%20Web%20Sites/Neal%20Pearcy%20Website/nealpearcy.com/wp-content/themes/salient-child/style0746.css	(from https://nealpearcy.com/)
20:35:14	108320/108320	---M-Z	200	added ('OK')	text/css	date:Tue,%2024%20Mar%202020%2002:19:48%20GMT	https://nealpearcy.com/wp-content/themes/salient/css/skin-material.css?ver=12.1.0	C:/My%20Web%20Sites/Neal%20Pearcy%20Website/nealpearcy.com/wp-content/themes/salient/css/skin-material0746.css	(from https://nealpearcy.com/)
20:35:14	111512/111512	---M-Z	200	added ('OK')	text/css	date:Wed,%2003%20Sep%202025%2005:58:14%20GMT	https://nealpearcy.com/wp-content/plugins/js_composer_salient1/assets/css/js_composer.min.css?ver=6.2.0	C:/My%20Web%20Sites/Neal%20Pearcy%20Website/nealpearcy.com/wp-content/plugins/js_composer_salient1/assets/css/js_composer.min10df.css	(from https://nealpearcy.com/)
20:35:15	98959/98959	---M-Z	200	added ('OK')	text/css	date:Thu,%2004%20Sep%202025%2004:07:36%20GMT	https://nealpearcy.com/wp-content/themes/salient/css/salient-dynamic-styles.css?ver=570	C:/My%20Web%20Sites/Neal%20Pearcy%20Website/nealpearcy.com/wp-content/themes/salient/css/salient-dynamic-styles7e29.css	(from https://nealpearcy.com/)
20:35:15	87553/87553	---M-Z	200	added ('OK')	text/javascript	date:Mon,%2028%20Aug%202023%2021:14:24%20GMT	https://nealpearcy.com/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	C:/My%20Web%20Sites/Neal%20Pearcy%20Website/nealpearcy.com/wp-includes/js/jquery/jquery.minf43b.js	(from https://nealpearcy.com/)
20:35:15	13577/13577	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2009%20Jun%202023%2009:49:24%20GMT	https://nealpearcy.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	C:/My%20Web%20Sites/Neal%20Pearcy%20Website/nealpearcy.com/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://nealpearcy.com/)
20:35:16	45100/45100	---MCZ	200	added ('OK')	application/json	date:Fri,%2018%20Sep%202026%2000:35:17%20GMT	https://nealpearcy.com/wp-json/wp/v2/pages/5	C:/My%20Web%20Sites/Neal%20Pearcy%20Website/nealpearcy.com/wp-json/wp/v2/pages/5.json	(from https://nealpearcy.com/)
20:35:16	212151/212151	---MCZ	200	added ('OK')	application/json	etag:%2227-1789691717;br%22	https://nealpearcy.com/wp-json/	C:/My%20Web%20Sites/Neal%20Pearcy%20Website/nealpearcy.com/wp-json/index.html	(from https://nealpearcy.com/)
20:35:17	798/798	---M-Z	200	added ('OK')	text/xml	date:Fri,%2018%20Sep%202026%2000:35:18%20GMT	https://nealpearcy.com/xmlrpc.php?rsd	C:/My%20Web%20Sites/Neal%20Pearcy%20Website/nealpearcy.com/xmlrpc0db0.php	(from https://nealpearcy.com/)
